DATAFLOW,LAST UPDATE,freq,tra_infr,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM_TKM2,FR10,2018,51,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM_TKM2,FRB0,2018,25,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM_TKM2,FRC1,2018,22,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM_TKM2,FRC2,2018,13,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM_TKM2,FRD1,2018,16,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM_TKM2,FRD2,2018,36,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM_TKM2,FRE1,2018,50,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM_TKM2,FRE2,2018,29,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM_TKM2,FRF1,2018,36,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM_TKM2,FRF2,2018,21,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM_TKM2,FRF3,2018,20,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM_TKM2,FRG0,2018,23,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM_TKM2,FRH0,2018,2,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM_TKM2,FRI1,2018,21,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM_TKM2,FRI2,2018,16,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM_TKM2,FRI3,2018,12,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM_TKM2,FRJ1,2018,22,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM_TKM2,FRJ2,2018,14,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM_TKM2,FRK1,2018,15,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM_TKM2,FRK2,2018,29,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM_TKM2,FRL0,2018,24,
ESTAT:TRAN_R_NET(1.0),26/08/22 23:00:00,A,MWAY,KM_TKM2,FRM0,2018,0,
